City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,malabar,-33.9667,151.25,305.32,11,0,4.12,AU,1694929194
256,kachia,9.8667,7.95,294.18,98,100,1.74,NG,1694929195
257,puerto santa,-8.9906,-78.6456,291.44,91,35,3.52,PE,1694929195
258,tateyama,34.9833,139.8667,301.11,82,6,6.46,JP,1694929195
259,gorontalo,0.5412,123.0595,303.25,65,98,3.31,ID,1694929161
260,ilinge,-31.9768,27.0427,280.96,45,100,5.19,ZA,1694929196
261,wuhai,39.6647,106.8122,297.59,25,37,8.42,CN,1694929196
262,tell city,37.9514,-86.7678,288.37,95,0,0.0,US,1694929196
263,east london,-33.0153,27.9116,286.67,44,0,6.69,ZA,1694928926
264,tolanaro,-25.0319,46.9987,298.19,65,0,1.03,MG,1694929197
265,anyama,5.4946,-4.0518,297.6,91,89,1.73,CI,1694929197
266,sihora,23.4833,80.1167,301.78,78,51,4.04,IN,1694929197
267,acarau,-2.8856,-40.12,298.24,84,67,6.69,BR,1694929198
268,puerto baquerizo moreno,-0.9,-89.6,296.0,81,100,2.93,EC,1694929198
269,agat village,13.3886,144.6585,302.24,83,40,3.6,GU,1694929198
270,ruginoasa,47.25,26.85,290.79,63,0,3.36,RO,1694929199
271,carutapera,-1.195,-46.02,299.16,76,5,3.94,BR,1694929199
272,kudahuvadhoo,2.6708,72.8944,301.6,73,94,6.47,MV,1694929199
273,kununurra,-15.7667,128.7333,308.14,23,40,4.63,AU,1694929199
274,maintirano,-18.0667,44.0167,301.64,54,22,2.13,MG,1694929200
275,vadso,70.0744,29.7487,280.24,93,100,1.03,NO,1694929200
276,ilhabela,-23.7781,-45.3581,294.29,81,4,1.3,BR,1694929201
277,ibshaway,29.358,30.6814,298.85,51,0,4.42,EG,1694929201
278,ambovombe,-25.1667,46.0833,300.35,42,0,1.55,MG,1694929201
279,mazagao,-0.115,-51.2894,300.18,90,28,1.5,BR,1694929202
280,totness,5.8833,-56.3167,299.18,90,41,5.04,SR,1694929202
281,trenggalek,-8.05,111.7167,302.16,59,88,4.28,ID,1694929203
282,san jose de feliciano,-30.3845,-58.7517,291.32,86,0,4.32,AR,1694929204
283,puquio,-14.7,-74.1333,283.71,39,87,1.29,PE,1694929204
284,alice springs,-23.7,133.8833,304.9,8,0,3.09,AU,1694929150
285,mount gambier,-37.8333,140.7667,291.84,61,8,3.57,AU,1694929205
286,ayr,55.4627,-4.6339,284.21,87,40,6.17,GB,1694928990
287,cestos city,5.46,-9.5828,297.83,87,99,1.85,LR,1694929205
288,huilong,31.8111,121.655,301.19,70,5,2.24,CN,1694929205
289,puerto lempira,15.2667,-83.7667,299.92,87,100,2.58,HN,1694929206
290,veraval,20.9,70.3667,302.17,75,100,6.74,IN,1694929206
291,arica,-18.475,-70.3042,288.28,77,0,3.6,CL,1694929206
292,dalandzadgad,43.5708,104.425,290.82,21,17,6.9,MN,1694929208
